STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
50,500001,1,1,0,0,0,1,1,23,350,13,1,2016,4,7,20,1,1,3,1,2,US-2,,8,44.36257222,-72.308172220000,0,1,0,0,1,1,0,4,1,4,0,4,0,0000000,7,21,99,97,99,97,0,0,0,1,0
50,500002,2,2,0,0,0,3,3,1,106,20,1,2016,4,15,15,0,1,5,1,3,SR-125,,34,43.99099444,-73.346441670000,0,12,2,0,1,1,0,1,1,1,0,1,0,0000000,15,21,15,33,16,10,0,0,0,1,0
50,500003,1,1,0,0,0,2,2,25,296,24,1,2016,1,2,19,0,1,7,3,5,TH-5 MIDDLETOWN RD.,TH-28 BROOKS RD.,99999,43.21424722,-72.813377780000,0,18,0,0,3,4,0,4,2,1,0,1,0,0000000,2,23,2,39,3,10,0,0,0,1,1
50,500004,1,1,0,0,0,1,1,19,158,8,2,2016,2,6,11,1,1,1,1,1,I-91 NB,,1665,44.87288611,-72.176119440000,0,1,0,0,1,1,0,3,1,1,0,1,0,0000000,6,12,6,20,88,88,0,0,0,1,0
50,500005,1,1,0,0,0,2,2,15,640,12,2,2016,6,23,57,0,1,5,3,5,MC-0237 STAGECOACH RD.,,11,44.49718611,-72.657516670000,0,30,0,0,1,1,0,4,2,10,0,10,0,0000000,0,30,0,11,1,2,18,0,0,1,1
50,500006,1,1,0,0,0,1,1,5,601,5,3,2016,7,4,15,0,2,5,4,6,FAU 7027 (SEVERANCE HILL RD.),,7,44.45778889,-71.945991670000,0,42,0,0,1,1,0,4,2,10,0,10,0,0000000,8,23,8,33,88,88,0,0,0,1,1
50,500007,1,1,0,0,0,1,1,25,32,6,3,2016,1,6,33,0,1,6,3,5,MINC 0538 BROOKLINE RD.,MILLER RD.,99999,43.11642778,-72.571436110000,0,42,0,0,3,4,0,4,2,1,0,1,0,0000000,6,37,6,48,88,88,0,0,0,1,1
50,500008,2,2,0,0,0,2,2,23,130,7,3,2016,2,13,33,1,1,3,1,2,US-2,,3,44.36378611,-72.317977780000,0,12,6,0,1,1,0,1,1,10,0,10,0,0000000,13,34,13,45,88,88,0,0,0,1,0
50,500009,1,1,0,1,1,1,1,1,360,11,3,2016,6,8,26,1,2,3,1,2,US-7,,7,43.96726944,-73.116569440000,0,8,0,0,1,1,3,2,1,10,0,10,0,0000000,8,27,8,34,88,88,0,0,0,1,0
50,500010,1,1,0,0,0,1,1,7,370,16,3,2016,4,16,55,0,2,4,1,2,US-2,,14,44.62459722,-73.229261110000,0,42,0,0,1,1,0,4,1,10,0,10,0,0000000,16,55,17,8,17,42,0,0,0,1,0
